89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,
56,56,56,56,56,56,56,56,56,56,56,56,56,56,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
